"country","indicator","Unit","Date","Value"
"World","All vehicles","UNITS","1/1/2005 12:00:00 AM",65431687
"World","All vehicles","UNITS","1/1/2006 12:00:00 AM",68021580
"World","All vehicles","UNITS","1/1/2007 12:00:00 AM",71192619
"World","All vehicles","UNITS","1/1/2008 12:00:00 AM",68076216
"World","All vehicles","UNITS","1/1/2009 12:00:00 AM",65415240
"World","All vehicles","UNITS","1/1/2010 12:00:00 AM",74628515
"World","All vehicles","UNITS","1/1/2011 12:00:00 AM",77926946
"World","All vehicles","UNITS","1/1/2012 12:00:00 AM",81739096
"AUSTRIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",345593
"AUSTRIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",347387
"AUSTRIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",339691
"AUSTRIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",336000
"AUSTRIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",350429
"AUSTRIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",362564
"AUSTRIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",396655
"AUSTRIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",374829
"BELGIUM","All vehicles","UNITS","1/1/2005 12:00:00 AM",551501
"BELGIUM","All vehicles","UNITS","1/1/2006 12:00:00 AM",594454
"BELGIUM","All vehicles","UNITS","1/1/2007 12:00:00 AM",602365
"BELGIUM","All vehicles","UNITS","1/1/2008 12:00:00 AM",612692
"BELGIUM","All vehicles","UNITS","1/1/2009 12:00:00 AM",536260
"BELGIUM","All vehicles","UNITS","1/1/2010 12:00:00 AM",607497
"BELGIUM","All vehicles","UNITS","1/1/2011 12:00:00 AM",643511
"BELGIUM","All vehicles","UNITS","1/1/2012 12:00:00 AM",550519
"DENMARK","All vehicles","UNITS","1/1/2005 12:00:00 AM",211159
"DENMARK","All vehicles","UNITS","1/1/2006 12:00:00 AM",226339
"DENMARK","All vehicles","UNITS","1/1/2007 12:00:00 AM",226214
