"country","subject","Unit","Date","Value"
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",0.562
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",0.471
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",0.226
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",0.536
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",0.192
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.078
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",0.51
"Afghanistan","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",0.798
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-1.688
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-1.311
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-1.696
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-1.975
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.498
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.508
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-1.109
"Albania","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-1.215
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",19.802
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",12.157
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",0.411
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",34.449
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",21.183
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",28.95
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",30.6
"Algeria","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",12.29
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",13.085
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",6.683
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-7.572
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",7.194
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",5.138
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",10.69
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",10.581
"Angola","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",13.423
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-0.118
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-0.167
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-0.169
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-0.359
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.171
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.292
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.386
"Antigua and Barbuda","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-0.167
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-4.113
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-1.186
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",7.544
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",5.99
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",4.699
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",7.166
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",6.729
"Argentina","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-1.238
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-1.124
"Armenia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-1.318
