"country","subject","Unit","Date","Value"
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2011 12:00:00 AM",11.804
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2010 12:00:00 AM",2.179
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2009 12:00:00 AM",-6.811
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2008 12:00:00 AM",26.419
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2005 12:00:00 AM",10.569
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2006 12:00:00 AM",6.785
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2007 12:00:00 AM",8.681
"Afghanistan","Inflation, average consumer prices (Percent change)","Percent change","1/1/2012 12:00:00 AM",6.441
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2011 12:00:00 AM",3.427
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2010 12:00:00 AM",3.548
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2009 12:00:00 AM",2.274
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2008 12:00:00 AM",3.359
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2005 12:00:00 AM",2.363
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2006 12:00:00 AM",2.371
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2007 12:00:00 AM",2.937
"Albania","Inflation, average consumer prices (Percent change)","Percent change","1/1/2012 12:00:00 AM",2.023
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2011 12:00:00 AM",4.522
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2010 12:00:00 AM",3.913
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2009 12:00:00 AM",5.743
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2008 12:00:00 AM",4.855
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2005 12:00:00 AM",1.382
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2006 12:00:00 AM",2.315
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2007 12:00:00 AM",3.674
"Algeria","Inflation, average consumer prices (Percent change)","Percent change","1/1/2012 12:00:00 AM",8.89
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2011 12:00:00 AM",13.484
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2010 12:00:00 AM",14.48
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2009 12:00:00 AM",13.721
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2008 12:00:00 AM",12.465
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2005 12:00:00 AM",22.961
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2006 12:00:00 AM",13.305
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2007 12:00:00 AM",12.249
"Angola","Inflation, average consumer prices (Percent change)","Percent change","1/1/2012 12:00:00 AM",10.285
"Antigua and Barbuda","Inflation, average consumer prices (Percent change)","Percent change","1/1/2011 12:00:00 AM",3.457
"Antigua and Barbuda","Inflation, average consumer prices (Percent change)","Percent change","1/1/2010 12:00:00 AM",3.37
