"country","subject","Unit","Date","Value"
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",17.89
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",15.325
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",12.066
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",10.297
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",6.167
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",6.925
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",8.556
"Afghanistan","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",20.296
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",12.678
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",11.705
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",11.864
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",12.683
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",8.213
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",9.001
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",10.698
"Albania","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",12.167
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",199.394
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",161.207
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",137.054
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",171.001
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",103.198
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",117.027
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",134.977
"Algeria","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",207.802
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",104.116
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",82.471
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",75.492
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",84.178
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",28.234
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",41.789
"Angola","Gross domestic product, current prices (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",60.449
