,All vehicles,Commercial vehicles,Current account balance (Percent of GDP),Current account balance (U.S. dollars),Employment (Persons),Export volume of goods and services (Percent change),Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP (Current international dollar),"Gross domestic product per capita, current prices (U.S. dollars)","Gross domestic product, constant prices (Percent change)","Gross domestic product, current prices (U.S. dollars)","Gross domestic product, deflator (Index)",Gross national savings (Percent of GDP),Import volume of goods and services (Percent change),"Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Investment (Percent of GDP),Output gap in percent of potential GDP (Percent of potential GDP),Passengers Cars,Population (Persons),Trade volume of goods and services (Percent change),Unemployment rate (Percent of total labor force),country,year
16,5852034.0,1103552.0,3.721,170.135,63.566,6.236000000000001,3858.502,35780.571,1.3030000000000002,4571.867,99.99600000000001,26.188000000000002,4.215,100.414,-0.27399999999999997,22.465999999999998,-0.789,4748482.0,127.775,,4.425,japan,2005
17,5739520.0,1127202.0,4.006,174.53599999999997,63.895,9.934,4044.3920000000003,34076.745,1.693,4356.75,98.875,26.686999999999998,4.531000000000001,100.65700000000001,0.243,22.680999999999997,-0.452,4612318.0,127.851,,4.125,japan,2006
18,5309200.0,983692.0,4.87,212.138,64.282,8.699,4243.03,34038.349,2.1919999999999997,4356.347,97.955,27.753,2.323,100.719,0.061,22.884,0.418,4325508.0,127.98299999999999,,3.833,japan,2007
19,5082233.0,897967.0,2.9410000000000003,142.599,64.098,1.4169999999999998,4281.198,37865.066,-1.042,4849.185,96.715,25.918000000000003,0.34600000000000003,102.10700000000001,1.3780000000000001,22.976999999999997,-1.368,4184266.0,128.065,,3.983,japan,2008
20,4609333.0,704023.0,2.885,145.25,63.153999999999996,-24.195999999999998,4075.2929999999997,39321.22,-5.527,5035.141,96.23200000000001,22.55,-15.710999999999999,100.736,-1.3419999999999999,19.665,-7.102,3905310.0,128.05100000000002,,5.05,japan,2009
21,4956148.0,752967.0,3.9610000000000003,217.64700000000002,62.983999999999995,24.363000000000003,4316.984,42916.744000000006,4.652,5495.387,94.149,23.784000000000002,11.065,100.01100000000001,-0.7190000000000001,19.823,-3.1289999999999996,4203181.0,128.048,,5.042,japan,2010
22,4210224.0,701188.0,2.142,126.471,62.893,-0.355,4386.152,46175.364,-0.45299999999999996,5905.630999999999,92.406,22.346,5.909,99.725,-0.287,20.204,-3.9019999999999997,3509036.0,127.896,,4.567,japan,2011
23,5369721.0,797388.0,0.988,58.683,62.699,-0.166,4530.286,46531.09099999999,1.464,5937.857,91.55,21.783,5.268,99.68700000000001,-0.037000000000000005,20.795,-3.054,4572333.0,127.611,,4.342,japan,2012
40,17444329.0,9784346.0,-5.693,-745.434,141.71,6.249,13093.7,44218.306,3.345,13093.7,91.98700000000001,17.820999999999998,6.332999999999999,195.267,3.366,23.223000000000003,0.8,7659983.0,296.115,,5.083,united states of america,2005
41,17048981.0,9287389.0,-5.822,-806.7260000000001,144.418,9.038,13855.9,46351.667,2.6660000000000004,13855.9,94.814,19.098,6.321000000000001,201.558,3.222,23.333000000000002,0.889,7761592.0,298.93,,4.6080000000000005,united states of america,2006
42,16460315.0,8897981.0,-4.9639999999999995,-718.645,146.05,9.267999999999999,14477.625,47954.532,1.7790000000000001,14477.625,97.337,17.274,2.521,207.34400000000002,2.8710000000000004,22.351,0.026000000000000002,7562334.0,301.903,,4.617,united states of america,2007
43,13493165.0,6724058.0,-4.665,-686.6419999999999,145.373,5.732,14718.575,48302.282999999996,-0.292,14718.575,99.24600000000001,15.449000000000002,-2.56,215.25400000000002,3.815,20.785999999999998,-2.616,6769107.0,304.718,,5.8,united states of america,2008
44,10601368.0,5200478.0,-2.641,-380.795,139.894,-8.793,14418.725,46909.422,-2.7760000000000002,14418.725,100.0,14.374,-13.722000000000001,214.565,-0.32,17.512999999999998,-6.718,5400890.0,307.374,,9.283,united states of america,2009
45,11772219.0,6136787.0,-2.967,-443.93,139.076,11.895999999999999,14964.4,48313.844000000005,2.532,14964.4,101.22200000000001,15.072000000000001,12.714,218.08,1.6380000000000001,18.394000000000002,-5.377000000000001,5635432.0,309.733,,9.625,united states of america,2010
46,13040613.0,6951210.0,-2.96,-459.345,139.879,6.852,15517.925,49746.28,1.6019999999999999,15517.925,103.311,15.695,5.471,224.93200000000002,3.142,18.545,-4.941,6089403.0,311.941,,8.933,united states of america,2011
47,14785936.0,7544036.0,-2.8510000000000004,-460.75,142.466,3.2560000000000002,16163.15,51449.794,2.3209999999999997,16163.15,105.166,16.32,2.33,229.59900000000002,2.075,19.17,-4.021,7241900.0,314.154,,8.075,united states of america,2012
48,12670.0,570.0,1.263,0.16699999999999998,,41.098,59.086999999999996,1567.955,26.4,13.245,125.79700000000001,42.788000000000004,7.233,143.308,9.68,41.525,,12100.0,8.447000000000001,,7.625,azerbaijan,2005
49,13590.0,590.0,17.632,3.708,,39.422,81.914,2458.447,34.5,21.026999999999997,140.015,47.49100000000001,7.332999999999999,155.309,8.374,29.859,,13000.0,8.552999999999999,,6.829,azerbaijan,2006
50,15740.0,740.0,27.256,9.019,,45.786,105.117,3818.2740000000003,25.0,33.09,169.457,48.781000000000006,6.651,181.083,16.595,21.525,,15000.0,8.666,,6.545,azerbaijan,2007
51,15800.0,800.0,35.477,16.454,,5.626,118.75399999999999,5282.291,10.8,46.378,204.953,55.302,13.552,218.785,20.82,19.825,,15000.0,8.78,,6.072,azerbaijan,2008
52,10800.0,800.0,22.980999999999998,10.177999999999999,,9.503,130.784,4977.94,9.3,44.288999999999994,175.65200000000002,41.357,-5.314,222.199,1.56,18.375999999999998,,10000.0,8.897,,6.047999999999999,azerbaijan,2009
53,13700.0,700.0,28.035,14.834000000000001,,-1.7919999999999998,138.947,5880.806,4.959,52.913000000000004,199.61700000000002,46.567,-0.828,234.78799999999998,5.666,18.532,,13000.0,8.998,,6.047999999999999,azerbaijan,2010
54,10850.0,850.0,26.453000000000003,17.146,,-3.219,141.94899999999998,7114.24,0.094,64.819,240.252,47.641000000000005,37.905,253.263,7.869,21.189,,10000.0,9.111,,6.047999999999999,azerbaijan,2011
55,13000.0,1000.0,21.814,14.985999999999999,,-1.489,147.623,7438.991999999999,2.1630000000000003,68.7,248.085,44.544,13.253,255.855,1.023,22.73,,12000.0,9.235,,6.047999999999999,azerbaijan,2012
56,35200.0,6700.0,7.689,1.1,,-4.29,70.831,541.894,7.0,14.31,3354.261,35.689,6.127999999999999,1160.805,10.044,28.0,,28500.0,26.408,,,uzbekistan,2005
57,38100.0,7000.0,9.18,1.5630000000000002,,-0.071,78.483,636.2909999999999,7.5,17.027,4067.8540000000003,38.78,13.9,1325.8870000000002,14.220999999999998,29.6,,31100.0,26.759,,,uzbekistan,2006
58,40800.0,9100.0,7.324,1.6340000000000001,,14.338,88.226,821.095,9.5,22.307,5044.0,37.324,40.783,1488.7520000000002,12.284,30.0,,31700.0,27.166999999999998,,,uzbekistan,2007
59,42300.0,9300.0,8.689,2.485,,13.209000000000001,98.053,1038.1860000000001,9.0,28.605,6197.1359999999995,39.689,29.557,1678.52,12.747,31.0,,33000.0,27.553,,,uzbekistan,2008
60,50900.0,11300.0,2.1959999999999997,0.735,,7.013999999999999,106.8,1195.021,8.1,33.461,7448.33,33.196,10.81,1914.858,14.08,31.0,,39600.0,28.0,,,uzbekistan,2009
61,64400.0,14600.0,6.152,2.397,,-8.414,117.294,1367.125,8.5,38.963,8649.723,36.819,-7.438,2094.4629999999997,9.38,30.666999999999998,,49800.0,28.5,,,uzbekistan,2010
62,64000.0,14000.0,5.751,2.612,,-6.992999999999999,129.65200000000002,1560.849,8.3,45.42100000000001,10064.136999999999,36.64,16.546,2362.735,12.809000000000001,30.889,,50000.0,29.1,,,uzbekistan,2011
